Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
johnson32-2-4,             -9.223372036854776e+18,             61.0,             0.044,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
san400_0,             -9.223372036854776e+18,             281.0,             0.041,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
johnson8-4-4,             -9.223372036854776e+18,             19.0,             0.002,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
c-fat500-2,             -9.223372036854776e+18,             72.0,             0.038,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
brock200_3,             -9.223372036854776e+18,             83.0,             0.013,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
brock800_1,             -9.223372036854776e+18,             348.0,             0.103,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
san400_0,             -9.223372036854776e+18,             196.0,             0.036,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
p_hat300-1,             -9.223372036854776e+18,             66.0,             0.017,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
brock200_1,             -9.223372036854776e+18,             105.0,             0.016,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
san400_0,             -9.223372036854776e+18,             216.0,             0.038,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
sanr200_0,             -9.223372036854776e+18,             142.0,             0.016,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
c-fat500-10,             -9.223372036854776e+18,             127.0,             0.043,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
johnson8-2-4,             -9.223372036854776e+18,             6.0,             0.000,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
c-fat200-2,             -9.223372036854776e+18,             30.0,             0.007,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
keller5,             -9.223372036854776e+18,             165.0,             0.082,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
MANN_a45,             -9.223372036854776e+18,             484.0,             0.186,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
hamming10-4,             -9.223372036854776e+18,             159.0,             0.114,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
san200_0,             -9.223372036854776e+18,             104.0,             0.012,            false,             false,            false,            false,            TD,            20,            1.000,            -1.0
