Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             false,            true,            false,            0.0,            false,            TD,            20,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             false,            true,            false,            9.0,            false,            TD,            20,            0.000,            107.0
knapPI_3_200_1000_1,             -9.223372036854776e+18,             8033.0,             0.024,            false,             false,            true,            false,            1254.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_1000_1000_1,             -9.223372036854776e+18,             158881.0,             0.265,            false,             false,            true,            false,            4810.0,            false,            TD,            20,            1.000,            -1.0
f6_l-d_kp_10_60,             13.0,             52.0,             0.000,            false,             false,            true,            false,            5.0,            false,            TD,            20,            0.750,            13.0
knapPI_1_2000_1000_1,             -9.223372036854776e+18,             839875.0,             0.541,            false,             false,            true,            false,            39756.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_2000_1000_1,             -9.223372036854776e+18,             476357.0,             0.548,            false,             false,            true,            false,            5314.0,            false,            TD,            20,            1.000,            -1.0
knapPI_1_500_1000_1,             -9.223372036854776e+18,             102629.0,             0.129,            false,             false,            true,            false,            11983.0,            false,            TD,            20,            1.000,            -1.0
f8_l-d_kp_23_10000,             -9.223372036854776e+18,             10240.0,             0.002,            false,             false,            true,            false,            498.0,            false,            TD,            20,            1.000,            -1.0
knapPI_3_2000_1000_1,             -9.223372036854776e+18,             575295.0,             0.539,            false,             false,            true,            false,            5688.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_500_1000_1,             -9.223372036854776e+18,             48339.0,             0.078,            false,             false,            true,            false,            2532.0,            false,            TD,            20,            1.000,            -1.0
knapPI_3_1000_1000_1,             -9.223372036854776e+18,             165968.0,             0.202,            false,             false,            true,            false,            4777.0,            false,            TD,            20,            1.000,            -1.0
knapPI_1_200_1000_1,             -9.223372036854776e+18,             20449.0,             0.023,            false,             false,            true,            false,            6072.0,            false,            TD,            20,            1.000,            -1.0
f2_l-d_kp_20_878,             -9.223372036854776e+18,             1085.0,             0.001,            false,             false,            true,            false,            107.0,            false,            TD,            20,            1.000,            -1.0
knapPI_1_5000_1000_1,             -9.223372036854776e+18,             2474772.0,             1.451,            false,             false,            true,            false,            37385.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_10000_1000_1,             -9.223372036854776e+18,             5056839.0,             3.257,            false,             false,            true,            false,            16749.0,            false,            TD,            20,            1.000,            -1.0
f10_l-d_kp_20_879,             -9.223372036854776e+18,             1086.0,             0.001,            false,             false,            true,            false,            74.0,            false,            TD,            20,            1.000,            -1.0
knapPI_1_1000_1000_1,             -9.223372036854776e+18,             296631.0,             0.255,            false,             false,            true,            false,            18738.0,            false,            TD,            20,            1.000,            -1.0
f3_l-d_kp_4_20,             35.0,             35.0,             0.000,            false,             false,            true,            false,            0.0,            false,            TD,            20,            0.000,            35.0
knapPI_3_100_1000_1,             0.0,             3884.0,             0.007,            false,             false,            true,            false,            1065.0,            false,            TD,            20,            1.000,            0.0
knapPI_3_500_1000_1,             -9.223372036854776e+18,             70932.0,             0.124,            false,             false,            true,            false,            3183.0,            false,            TD,            20,            1.000,            -1.0
knapPI_3_10000_1000_1,             -9.223372036854776e+18,             6001419.0,             2.743,            false,             false,            true,            false,            29529.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_200_1000_1,             -9.223372036854776e+18,             4468.0,             0.024,            false,             false,            true,            false,            889.0,            false,            TD,            20,            1.000,            -1.0
f1_l-d_kp_10_269,             134.0,             295.0,             0.000,            false,             false,            true,            false,            30.0,            false,            TD,            20,            0.546,            134.0
knapPI_3_5000_1000_1,             -9.223372036854776e+18,             2765925.0,             1.386,            false,             false,            true,            false,            16237.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_5000_1000_1,             -9.223372036854776e+18,             2350328.0,             1.266,            false,             false,            true,            false,            10103.0,            false,            TD,            20,            1.000,            -1.0
knapPI_1_100_1000_1,             -9.223372036854776e+18,             11434.0,             0.009,            false,             false,            true,            false,            4564.0,            false,            TD,            20,            1.000,            -1.0
knapPI_2_100_1000_1,             -9.223372036854776e+18,             2378.0,             0.008,            false,             false,            true,            false,            673.0,            false,            TD,            20,            1.000,            -1.0
f9_l-d_kp_5_80,             130.0,             130.0,             0.000,            false,             false,            true,            false,            0.0,            false,            TD,            20,            0.000,            130.0
knapPI_1_10000_1000_1,             -9.223372036854776e+18,             4979067.0,             3.006,            false,             false,            true,            false,            35844.0,            false,            TD,            20,            1.000,            -1.0
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            107.0
