Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.000,            107.0
knapPI_3_200_1000_1,             722.0,             3075.0,             0.252,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.765,            722.0
knapPI_2_1000_1000_1,             -9.223372036854776e+18,             47304.0,             2.154,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f6_l-d_kp_10_60,             52.0,             52.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.000,            52.0
knapPI_1_2000_1000_1,             -9.223372036854776e+18,             378365.0,             2.994,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_2_2000_1000_1,             -9.223372036854776e+18,             206466.0,             3.734,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_1_500_1000_1,             -9.223372036854776e+18,             47690.0,             1.117,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f8_l-d_kp_23_10000,             4697.0,             9767.0,             0.021,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.519,            4697.0
knapPI_3_2000_1000_1,             -9.223372036854776e+18,             260942.0,             3.767,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_2_500_1000_1,             -9.223372036854776e+18,             9641.0,             1.122,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_3_1000_1000_1,             -9.223372036854776e+18,             70241.0,             2.202,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_1_200_1000_1,             -9.223372036854776e+18,             12010.0,             0.267,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f2_l-d_kp_20_878,             71.0,             1024.0,             0.019,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.931,            71.0
knapPI_1_5000_1000_1,             -9.223372036854776e+18,             1696586.0,             7.762,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f10_l-d_kp_20_879,             61.0,             1034.0,             0.018,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.941,            61.0
knapPI_1_1000_1000_1,             -9.223372036854776e+18,             147139.0,             2.211,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f3_l-d_kp_4_20,             35.0,             35.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.000,            35.0
knapPI_3_100_1000_1,             1018.0,             2483.0,             0.101,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.590,            1018.0
knapPI_3_500_1000_1,             0.0,             16171.0,             1.088,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            0.0
knapPI_2_200_1000_1,             -9.223372036854776e+18,             1922.0,             0.235,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f1_l-d_kp_10_269,             294.0,             295.0,             0.003,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.003,            294.0
knapPI_3_5000_1000_1,             -9.223372036854776e+18,             885049.0,             7.899,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_2_5000_1000_1,             -9.223372036854776e+18,             743938.0,             9.316,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_1_100_1000_1,             -9.223372036854776e+18,             9291.0,             0.109,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
knapPI_2_100_1000_1,             -9.223372036854776e+18,             1590.0,             0.102,            false,             true,            true,            false,            0.0,            false,            TD,            100,            1.000,            -1.0
f9_l-d_kp_5_80,             130.0,             130.0,             0.000,            false,             true,            true,            false,            0.0,            false,            TD,            100,            0.000,            130.0
f4_l-d_kp_4_11,             23.0,             23.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            23.0
f7_l-d_kp_7_50,             107.0,             107.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            107.0
knapPI_3_200_1000_1,             2697.0,             2697.0,             0.690,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            2697.0
knapPI_2_1000_1000_1,             7983.0,             300151.0,             120.163,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.973,            7983.0
f6_l-d_kp_10_60,             52.0,             52.0,             0.000,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            52.0
knapPI_1_2000_1000_1,             75852.0,             842949.0,             120.333,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.910,            75852.0
knapPI_2_2000_1000_1,             14621.0,             801345.0,             120.188,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.982,            14621.0
knapPI_1_500_1000_1,             28857.0,             28857.0,             41.705,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            28857.0
f8_l-d_kp_23_10000,             9767.0,             9767.0,             0.022,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            9767.0
knapPI_3_2000_1000_1,             21419.0,             928304.0,             120.060,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.977,            21419.0
knapPI_2_500_1000_1,             4566.0,             4566.0,             53.089,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            4566.0
knapPI_3_1000_1000_1,             12490.0,             355278.0,             120.163,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.965,            12490.0
knapPI_1_200_1000_1,             11238.0,             11238.0,             0.516,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            11238.0
f2_l-d_kp_20_878,             1024.0,             1024.0,             0.001,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            1024.0
knapPI_1_5000_1000_1,             155082.0,             2357631.0,             123.235,            true,             false,            false,            false,            0.0,            false,            BB,            0,            0.934,            155082.0
f10_l-d_kp_20_879,             1025.0,             1025.0,             0.001,            false,             false,            false,            false,            0.0,            false,            BB,            0,            0.000,            1025.0
