Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
knapPI_3_500_1000_1,             -9223372036854775808,             87552,             0.974,            false,             false,            IR,            500,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             321568,             2.130,            false,             false,            IR,            500,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            IR,            500,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             15891,             0.016,            false,             false,            IR,            500,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             92231,             0.980,            false,             false,            IR,            500,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             5082,             0.083,            false,             false,            IR,            500,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1063,             0.003,            false,             false,            IR,            500,            0.036,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            IR,            500,            0.000,            107
knapPI_2_200_1000_1,             1634,             59858,             0.098,            false,             false,            IR,            500,            0.973,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             352541,             2.233,            false,             false,            IR,            500,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            IR,            500,            0.000,            130
knapPI_1_100_1000_1,             9147,             34743,             0.010,            false,             false,            IR,            500,            0.737,            9147
f6_l-d_kp_10_60,             52,             90,             0.001,            false,             false,            IR,            500,            0.422,            52
f1_l-d_kp_10_269,             295,             398,             0.000,            false,             false,            IR,            500,            0.259,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             363746,             2.167,            false,             false,            IR,            500,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            IR,            500,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             9231,             0.267,            false,             false,            IR,            500,            1.000,            -1
knapPI_1_200_1000_1,             11238,             68124,             0.049,            false,             false,            IR,            500,            0.835,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.016,            false,             false,            IR,            500,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             73819,             0.949,            false,             false,            IR,            500,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1062,             0.004,            false,             false,            IR,            500,            0.036,            1024
knapPI_3_500_1000_1,             -9223372036854775808,             47290,             0.824,            false,             false,            TD,            500,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             305535,             2.042,            false,             false,            TD,            500,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            TD,            500,            0.000,            35
f8_l-d_kp_23_10000,             9767,             11524,             0.012,            false,             false,            TD,            500,            0.152,            9767
knapPI_1_500_1000_1,             -9223372036854775808,             89568,             0.800,            false,             false,            TD,            500,            1.000,            -1
knapPI_3_100_1000_1,             1777,             2898,             0.057,            false,             false,            TD,            500,            0.387,            1777
f10_l-d_kp_20_879,             1025,             1025,             0.002,            false,             false,            TD,            500,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            TD,            500,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.089,            false,             false,            TD,            500,            0.000,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             336127,             2.240,            false,             false,            TD,            500,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            TD,            500,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.010,            false,             false,            TD,            500,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            TD,            500,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            TD,            500,            0.000,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             187255,             1.770,            false,             false,            TD,            500,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            TD,            500,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             4902,             0.184,            false,             false,            TD,            500,            1.000,            -1
knapPI_1_200_1000_1,             11238,             11238,             0.048,            false,             false,            TD,            500,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.013,            false,             false,            TD,            500,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             63334,             0.807,            false,             false,            TD,            500,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.002,            false,             false,            TD,            500,            0.000,            1024
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            BB,            0,            0.000,            35
f8_l-d_kp_23_10000,             9767,             9767,             0.021,            false,             false,            BB,            0,            0.000,            9767
f10_l-d_kp_20_879,             1025,             1025,             0.000,            false,             false,            BB,            0,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            BB,            0,            0.000,            107
knapPI_1_1000_1000_1,             54503,             54503,             1.853,            false,             false,            BB,            0,            0.000,            54503
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            BB,            0,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.003,            false,             false,            BB,            0,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            BB,            0,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            BB,            0,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            BB,            0,            0.000,            23
f2_l-d_kp_20_878,             1024,             1024,             0.000,            false,             false,            BB,            0,            0.000,            1024
