Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
knapPI_3_500_1000_1,             -9223372036854775808,             78654,             2.011,            false,             false,            IR,            1000,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            IR,            1000,            0.000,            35
f8_l-d_kp_23_10000,             9767,             14936,             0.032,            false,             false,            IR,            1000,            0.346,            9767
knapPI_1_500_1000_1,             28857,             221758,             1.579,            false,             false,            IR,            1000,            0.870,            28857
knapPI_3_100_1000_1,             -9223372036854775808,             4363,             0.204,            false,             false,            IR,            1000,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1063,             0.003,            false,             false,            IR,            1000,            0.036,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            IR,            1000,            0.000,            107
knapPI_2_200_1000_1,             1634,             59858,             0.098,            false,             false,            IR,            1000,            0.973,            1634
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            IR,            1000,            0.000,            130
knapPI_1_100_1000_1,             9147,             34743,             0.020,            false,             false,            IR,            1000,            0.737,            9147
f6_l-d_kp_10_60,             52,             90,             0.001,            false,             false,            IR,            1000,            0.422,            52
f1_l-d_kp_10_269,             295,             398,             0.000,            false,             false,            IR,            1000,            0.259,            295
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            IR,            1000,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             8527,             0.457,            false,             false,            IR,            1000,            1.000,            -1
knapPI_1_200_1000_1,             11238,             68124,             0.049,            false,             false,            IR,            1000,            0.835,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.023,            false,             false,            IR,            1000,            0.000,            1514
knapPI_2_500_1000_1,             4566,             222577,             1.828,            false,             false,            IR,            1000,            0.979,            4566
f2_l-d_kp_20_878,             1024,             1062,             0.006,            false,             false,            IR,            1000,            0.036,            1024
knapPI_3_500_1000_1,             -9223372036854775808,             32954,             1.550,            false,             false,            TD,            1000,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            TD,            1000,            0.000,            35
f8_l-d_kp_23_10000,             9767,             9767,             0.023,            false,             false,            TD,            1000,            0.000,            9767
knapPI_1_500_1000_1,             28857,             28857,             1.885,            false,             false,            TD,            1000,            0.000,            28857
knapPI_3_100_1000_1,             2397,             2397,             0.143,            false,             false,            TD,            1000,            0.000,            2397
f10_l-d_kp_20_879,             1025,             1025,             0.002,            false,             false,            TD,            1000,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            TD,            1000,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.088,            false,             false,            TD,            1000,            0.000,            1634
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            TD,            1000,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.013,            false,             false,            TD,            1000,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            TD,            1000,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            TD,            1000,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            TD,            1000,            0.000,            23
knapPI_3_200_1000_1,             2697,             2697,             0.409,            false,             false,            TD,            1000,            0.000,            2697
knapPI_1_200_1000_1,             11238,             11238,             0.044,            false,             false,            TD,            1000,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.016,            false,             false,            TD,            1000,            0.000,            1514
knapPI_2_500_1000_1,             4566,             4566,             2.040,            false,             false,            TD,            1000,            0.000,            4566
f2_l-d_kp_20_878,             1024,             1024,             0.002,            false,             false,            TD,            1000,            0.000,            1024
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            BB,            0,            0.000,            35
f8_l-d_kp_23_10000,             9767,             9767,             0.021,            false,             false,            BB,            0,            0.000,            9767
f10_l-d_kp_20_879,             1025,             1025,             0.000,            false,             false,            BB,            0,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            BB,            0,            0.000,            107
knapPI_1_1000_1000_1,             54503,             54503,             1.853,            false,             false,            BB,            0,            0.000,            54503
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            BB,            0,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.003,            false,             false,            BB,            0,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            BB,            0,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            BB,            0,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            BB,            0,            0.000,            23
f2_l-d_kp_20_878,             1024,             1024,             0.000,            false,             false,            BB,            0,            0.000,            1024
