Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
knapPI_3_500_1000_1,             -9223372036854775808,             154667,             0.070,            false,             false,            IR,            20,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             414497,             0.153,            false,             false,            IR,            20,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             950500,             0.313,            false,             false,            IR,            20,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            IR,            20,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             17844,             0.001,            false,             false,            IR,            20,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             163138,             0.071,            false,             false,            IR,            20,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             2931633,             0.817,            false,             false,            IR,            20,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             931031,             0.311,            false,             false,            IR,            20,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             10346,             0.003,            false,             false,            IR,            20,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.001,            false,             false,            IR,            20,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            IR,            20,            0.000,            107
knapPI_2_200_1000_1,             -9223372036854775808,             15880,             0.016,            false,             false,            IR,            20,            1.000,            -1
knapPI_1_1000_1000_1,             -9223372036854775808,             421333,             0.149,            false,             false,            IR,            20,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             1093064,             0.201,            false,             false,            IR,            20,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            IR,            20,            0.000,            130
knapPI_1_100_1000_1,             -9223372036854775808,             16002,             0.005,            false,             false,            IR,            20,            1.000,            -1
f6_l-d_kp_10_60,             52,             75,             0.000,            false,             false,            IR,            20,            0.307,            52
knapPI_1_5000_1000_1,             -9223372036854775808,             2442455,             0.826,            false,             false,            IR,            20,            1.000,            -1
knapPI_2_5000_1000_1,             -9223372036854775808,             2491150,             0.869,            false,             false,            IR,            20,            1.000,            -1
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            IR,            20,            0.000,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             473323,             0.097,            false,             false,            IR,            20,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            IR,            20,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             21030,             0.016,            false,             false,            IR,            20,            1.000,            -1
knapPI_1_200_1000_1,             -9223372036854775808,             30581,             0.015,            false,             false,            IR,            20,            1.000,            -1
knapPI_2_100_1000_1,             -9223372036854775808,             7851,             0.005,            false,             false,            IR,            20,            1.000,            -1
knapPI_2_500_1000_1,             -9223372036854775808,             138518,             0.069,            false,             false,            IR,            20,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.001,            false,             false,            IR,            20,            0.000,            1024
knapPI_3_500_1000_1,             -9223372036854775808,             127130,             0.095,            false,             true,            IR,            20,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             364869,             0.208,            false,             true,            IR,            20,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             995866,             0.491,            false,             true,            IR,            20,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             true,            IR,            20,            0.000,            35
f8_l-d_kp_23_10000,             0,             12182,             0.002,            false,             true,            IR,            20,            1.000,            0
knapPI_1_500_1000_1,             -9223372036854775808,             177310,             0.106,            false,             true,            IR,            20,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             2966423,             1.152,            false,             true,            IR,            20,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             963223,             0.483,            false,             true,            IR,            20,            1.000,            -1
knapPI_3_100_1000_1,             0,             2971,             0.006,            false,             true,            IR,            20,            1.000,            0
f10_l-d_kp_20_879,             -9223372036854775808,             1054,             0.001,            false,             true,            IR,            20,            1.000,            -1
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             true,            IR,            20,            0.000,            107
knapPI_2_200_1000_1,             -9223372036854775808,             4446,             0.028,            false,             true,            IR,            20,            1.000,            -1
knapPI_1_1000_1000_1,             -9223372036854775808,             467677,             0.216,            false,             true,            IR,            20,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             1152256,             0.282,            false,             true,            IR,            20,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             true,            IR,            20,            0.000,            130
knapPI_1_100_1000_1,             -9223372036854775808,             10170,             0.009,            false,             true,            IR,            20,            1.000,            -1
f6_l-d_kp_10_60,             -9223372036854775808,             52,             0.001,            false,             true,            IR,            20,            1.000,            -1
knapPI_1_5000_1000_1,             -9223372036854775808,             2465016,             1.214,            false,             true,            IR,            20,            1.000,            -1
knapPI_2_5000_1000_1,             -9223372036854775808,             2521466,             1.214,            false,             true,            IR,            20,            1.000,            -1
f1_l-d_kp_10_269,             280,             295,             0.001,            false,             true,            IR,            20,            0.051,            280
knapPI_3_1000_1000_1,             -9223372036854775808,             562646,             0.137,            false,             true,            IR,            20,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             true,            IR,            20,            0.000,            23
knapPI_3_200_1000_1,             0,             4377,             0.023,            false,             true,            IR,            20,            1.000,            0
knapPI_1_200_1000_1,             -9223372036854775808,             19688,             0.024,            false,             true,            IR,            20,            1.000,            -1
knapPI_2_100_1000_1,             -9223372036854775808,             2473,             0.009,            false,             true,            IR,            20,            1.000,            -1
knapPI_2_500_1000_1,             -9223372036854775808,             60937,             0.104,            false,             true,            IR,            20,            1.000,            -1
f2_l-d_kp_20_878,             -9223372036854775808,             1056,             0.001,            false,             true,            IR,            20,            1.000,            -1
knapPI_3_500_1000_1,             -9223372036854775808,             144244,             0.078,            false,             false,            TD,            20,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             408223,             0.169,            false,             false,            TD,            20,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             943195,             0.387,            false,             false,            TD,            20,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            TD,            20,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             17841,             0.001,            false,             false,            TD,            20,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             161356,             0.080,            false,             false,            TD,            20,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             2889521,             0.934,            false,             false,            TD,            20,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             927312,             0.393,            false,             false,            TD,            20,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             10246,             0.004,            false,             false,            TD,            20,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.001,            false,             false,            TD,            20,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            TD,            20,            0.000,            107
knapPI_2_200_1000_1,             -9223372036854775808,             15691,             0.013,            false,             false,            TD,            20,            1.000,            -1
knapPI_1_1000_1000_1,             -9223372036854775808,             416940,             0.163,            false,             false,            TD,            20,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             1062288,             0.290,            false,             false,            TD,            20,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            TD,            20,            0.000,            130
knapPI_1_100_1000_1,             -9223372036854775808,             15508,             0.004,            false,             false,            TD,            20,            1.000,            -1
