Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
knapPI_3_500_1000_1,             -9223372036854775808,             115389,             0.196,            false,             false,            IR,            100,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             367850,             0.427,            false,             false,            IR,            100,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             913493,             0.896,            false,             false,            IR,            100,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            IR,            100,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             16878,             0.004,            false,             false,            IR,            100,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             132375,             0.200,            false,             false,            IR,            100,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             2888890,             2.385,            false,             false,            IR,            100,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             905372,             0.885,            false,             false,            IR,            100,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             6451,             0.016,            false,             false,            IR,            100,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.002,            false,             false,            IR,            100,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            IR,            100,            0.000,            107
knapPI_2_200_1000_1,             -9223372036854775808,             8607,             0.045,            false,             false,            IR,            100,            1.000,            -1
knapPI_1_1000_1000_1,             -9223372036854775808,             386774,             0.432,            false,             false,            IR,            100,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             1041978,             0.899,            false,             false,            IR,            100,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            IR,            100,            0.000,            130
knapPI_1_100_1000_1,             9147,             34743,             0.011,            false,             false,            IR,            100,            0.737,            9147
f6_l-d_kp_10_60,             52,             90,             0.001,            false,             false,            IR,            100,            0.422,            52
knapPI_1_5000_1000_1,             -9223372036854775808,             2426674,             2.482,            false,             false,            IR,            100,            1.000,            -1
knapPI_2_5000_1000_1,             -9223372036854775808,             2471137,             2.394,            false,             false,            IR,            100,            1.000,            -1
f1_l-d_kp_10_269,             295,             398,             0.000,            false,             false,            IR,            100,            0.259,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             423935,             0.437,            false,             false,            IR,            100,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            IR,            100,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             13002,             0.044,            false,             false,            IR,            100,            1.000,            -1
knapPI_1_200_1000_1,             11238,             68124,             0.041,            false,             false,            IR,            100,            0.835,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.017,            false,             false,            IR,            100,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             100987,             0.186,            false,             false,            IR,            100,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.003,            false,             false,            IR,            100,            0.000,            1024
knapPI_3_500_1000_1,             -9223372036854775808,             8547,             0.831,            false,             true,            IR,            100,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             21052,             1.887,            false,             true,            IR,            100,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             71194,             4.049,            false,             true,            IR,            100,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             true,            IR,            100,            0.000,            35
f8_l-d_kp_23_10000,             4895,             9767,             0.023,            false,             true,            IR,            100,            0.499,            4895
knapPI_1_500_1000_1,             -9223372036854775808,             31381,             0.868,            false,             true,            IR,            100,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             212111,             10.693,            false,             true,            IR,            100,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             178711,             4.141,            false,             true,            IR,            100,            1.000,            -1
knapPI_3_100_1000_1,             1240,             2412,             0.087,            false,             true,            IR,            100,            0.486,            1240
f10_l-d_kp_20_879,             1025,             1025,             0.005,            false,             true,            IR,            100,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             true,            IR,            100,            0.000,            107
knapPI_2_200_1000_1,             2,             1776,             0.200,            false,             true,            IR,            100,            0.999,            2
knapPI_1_1000_1000_1,             -9223372036854775808,             67700,             1.795,            false,             true,            IR,            100,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             40756,             4.542,            false,             true,            IR,            100,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             true,            IR,            100,            0.000,            130
knapPI_1_100_1000_1,             9147,             34743,             0.022,            false,             true,            IR,            100,            0.737,            9147
f6_l-d_kp_10_60,             52,             90,             0.001,            false,             true,            IR,            100,            0.422,            52
knapPI_1_5000_1000_1,             -9223372036854775808,             750290,             9.884,            false,             true,            IR,            100,            1.000,            -1
knapPI_2_5000_1000_1,             -9223372036854775808,             428437,             10.879,            false,             true,            IR,            100,            1.000,            -1
f1_l-d_kp_10_269,             295,             398,             0.000,            false,             true,            IR,            100,            0.259,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             19179,             1.956,            false,             true,            IR,            100,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             true,            IR,            100,            0.000,            23
knapPI_3_200_1000_1,             462,             2763,             0.243,            false,             true,            IR,            100,            0.833,            462
knapPI_1_200_1000_1,             11238,             68124,             0.074,            false,             true,            IR,            100,            0.835,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.034,            false,             true,            IR,            100,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             7128,             0.920,            false,             true,            IR,            100,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.007,            false,             true,            IR,            100,            0.000,            1024
knapPI_3_500_1000_1,             -9223372036854775808,             90072,             0.193,            false,             false,            TD,            100,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             358980,             0.471,            false,             false,            TD,            100,            1.000,            -1
knapPI_2_2000_1000_1,             -9223372036854775808,             902950,             1.074,            false,             false,            TD,            100,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            TD,            100,            0.000,            35
f8_l-d_kp_23_10000,             -9223372036854775808,             16372,             0.002,            false,             false,            TD,            100,            1.000,            -1
knapPI_1_500_1000_1,             -9223372036854775808,             129393,             0.199,            false,             false,            TD,            100,            1.000,            -1
knapPI_3_5000_1000_1,             -9223372036854775808,             2730000,             2.380,            false,             false,            TD,            100,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             897922,             1.105,            false,             false,            TD,            100,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             6314,             0.012,            false,             false,            TD,            100,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.001,            false,             false,            TD,            100,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            TD,            100,            0.000,            107
knapPI_2_200_1000_1,             -9223372036854775808,             8171,             0.036,            false,             false,            TD,            100,            1.000,            -1
knapPI_1_1000_1000_1,             -9223372036854775808,             380728,             0.474,            false,             false,            TD,            100,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             913383,             0.932,            false,             false,            TD,            100,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            TD,            100,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.009,            false,             false,            TD,            100,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            TD,            100,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            TD,            100,            0.000,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             326925,             0.402,            false,             false,            TD,            100,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            TD,            100,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             11552,             0.034,            false,             false,            TD,            100,            1.000,            -1
knapPI_1_200_1000_1,             11238,             11238,             0.038,            false,             false,            TD,            100,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.014,            false,             false,            TD,            100,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             98245,             0.190,            false,             false,            TD,            100,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.002,            false,             false,            TD,            100,            0.000,            1024
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            BB,            0,            0.000,            35
f8_l-d_kp_23_10000,             9767,             9767,             0.021,            false,             false,            BB,            0,            0.000,            9767
f10_l-d_kp_20_879,             1025,             1025,             0.000,            false,             false,            BB,            0,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            BB,            0,            0.000,            107
knapPI_1_1000_1000_1,             54503,             54503,             1.853,            false,             false,            BB,            0,            0.000,            54503
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            BB,            0,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.003,            false,             false,            BB,            0,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            BB,            0,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            BB,            0,            0.000,            295
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            BB,            0,            0.000,            23
f2_l-d_kp_20_878,             1024,             1024,             0.000,            false,             false,            BB,            0,            0.000,            1024
