Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
rbg086a,             +inf,             12300.00,             1.512,            false,             false,            IR,            70,            1.000,            0.00
rbg035a,             +inf,             1096.00,             0.160,            false,             false,            IR,            70,            1.000,            0.00
rbg092a,             +inf,             8093.00,             1.411,            false,             false,            IR,            70,            1.000,            0.00
rbg152,             +inf,             7638.00,             5.673,            false,             false,            IR,            70,            1.000,            0.00
rbg020a,             +inf,             4125.00,             0.023,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             1485.00,             0.030,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             4005.00,             0.023,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             1486.00,             0.030,            false,             false,            IR,            70,            1.000,            0.00
rbg050c,             +inf,             2968.00,             0.353,            false,             false,            IR,            70,            1.000,            0.00
rbg055a,             +inf,             4330.00,             0.359,            false,             false,            IR,            70,            1.000,            0.00
rbg125a,             +inf,             7468.00,             3.393,            false,             false,            IR,            70,            1.000,            0.00
rbg035a,             +inf,             1765.00,             0.115,            false,             false,            IR,            70,            1.000,            0.00
rbg017,             +inf,             1617.00,             0.014,            false,             false,            IR,            70,            1.000,            0.00
rbg172a,             +inf,             9399.00,             8.331,            false,             false,            IR,            70,            1.000,            0.00
rbg016b,             +inf,             1324.00,             0.018,            false,             false,            IR,            70,            1.000,            0.00
rbg019d,             +inf,             2360.00,             0.022,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             3998.00,             0.024,            false,             false,            IR,            70,            1.000,            0.00
rbg067a,             +inf,             7073.00,             0.597,            false,             false,            IR,            70,            1.000,            0.00
rbg042a,             +inf,             1950.00,             0.190,            false,             false,            IR,            70,            1.000,            0.00
rbg132,             +inf,             10302.00,             3.764,            false,             false,            IR,            70,            1.000,            0.00
rbg040a,             +inf,             3927.00,             0.157,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             1494.00,             0.031,            false,             false,            IR,            70,            1.000,            0.00
rbg049a,             +inf,             4432.00,             0.342,            false,             false,            IR,            70,            1.000,            0.00
rbg031a,             +inf,             1424.00,             0.089,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             1492.00,             0.031,            false,             false,            IR,            70,            1.000,            0.00
rbg048a,             +inf,             3290.00,             0.351,            false,             false,            IR,            70,            1.000,            0.00
rbg019a,             +inf,             2183.00,             0.018,            false,             false,            IR,            70,            1.000,            0.00
rbg021,             +inf,             3981.00,             0.025,            false,             false,            IR,            70,            1.000,            0.00
rbg017,             +inf,             1818.00,             0.012,            false,             false,            IR,            70,            1.000,            0.00
rbg034a,             +inf,             2262.00,             0.106,            false,             false,            IR,            70,            1.000,            0.00
rbg041a,             +inf,             1906.00,             0.178,            false,             false,            IR,            70,            1.000,            0.00
rbg016a,             +inf,             2031.00,             0.011,            false,             false,            IR,            70,            1.000,            0.00
rbg038a,             +inf,             4395.00,             0.131,            false,             false,            IR,            70,            1.000,            0.00
rbg132,             +inf,             7156.00,             4.316,            false,             false,            IR,            70,            1.000,            0.00
rbg033a,             +inf,             1523.00,             0.109,            false,             false,            IR,            70,            1.000,            0.00
rbg017a,             +inf,             3937.00,             0.011,            false,             false,            IR,            70,            1.000,            0.00
rbg193,             +inf,             7237.00,             13.472,            false,             false,            IR,            70,            1.000,            0.00
rbg019c,             +inf,             4005.00,             0.022,            false,             false,            IR,            70,            1.000,            0.00
rbg010a,             +inf,             1560.00,             0.004,            false,             false,            IR,            70,            1.000,            0.00
rbg050a,             +inf,             4133.00,             0.360,            false,             false,            IR,            70,            1.000,            0.00
rbg152,             +inf,             4889.00,             7.056,            false,             false,            IR,            70,            1.000,            0.00
