Name,Lower,Upper,Duration,Aborted,Cluster,Solver,Width,Gap,Objective
rbg086a,             +inf,             9276.00,             0.291,            false,             false,            IR,            20,            1.000,            0.00
rbg035a,             +inf,             100.00,             0.038,            false,             false,            IR,            20,            1.000,            0.00
rbg092a,             +inf,             7174.00,             0.296,            false,             false,            IR,            20,            1.000,            0.00
rbg152,             +inf,             6196.00,             1.229,            false,             false,            IR,            20,            1.000,            0.00
rbg020a,             +inf,             3882.00,             0.007,            false,             false,            IR,            20,            1.000,            0.00
rbg021,             +inf,             1158.00,             0.008,            false,             false,            IR,            20,            1.000,            0.00
rbg021,             +inf,             3672.00,             0.007,            false,             false,            IR,            20,            1.000,            0.00
rbg021,             +inf,             1168.00,             0.008,            false,             false,            IR,            20,            1.000,            0.00
rbg050c,             +inf,             2423.00,             0.090,            false,             false,            IR,            20,            1.000,            0.00
rbg055a,             +inf,             3503.00,             0.083,            false,             false,            IR,            20,            1.000,            0.00
rbg125a,             +inf,             6093.00,             0.763,            false,             false,            IR,            20,            1.000,            0.00
rbg035a,             +inf,             1368.00,             0.038,            false,             false,            IR,            20,            1.000,            0.00
rbg017,             +inf,             1176.00,             0.005,            false,             false,            IR,            20,            1.000,            0.00
rbg172a,             +inf,             7714.00,             1.662,            false,             false,            IR,            20,            1.000,            0.00
rbg016b,             +inf,             1086.00,             0.007,            false,             false,            IR,            20,            1.000,            0.00
rbg019d,             +inf,             1011.00,             0.007,            false,             false,            IR,            20,            1.000,            0.00
rbg021,             +inf,             3622.00,             0.007,            false,             false,            IR,            20,            1.000,            0.00
rbg067a,             +inf,             6204.00,             0.190,            false,             false,            IR,            20,            1.000,            0.00
rbg042a,             +inf,             525.00,             0.065,            false,             false,            IR,            20,            1.000,            0.00
rbg132,             +inf,             7910.00,             0.774,            false,             false,            IR,            20,            1.000,            0.00
rbg040a,             +inf,             3662.00,             0.047,            false,             false,            IR,            20,            1.000,            0.00
rbg021,             +inf,             1160.00,             0.008,            false,             false,            IR,            20,            1.000,            0.00
rbg049a,             +inf,             3757.00,             0.072,            false,             false,            IR,            20,            1.000,            0.00
