Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
ry48p,             inf,             8836.0,             0.179,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             31752.0,             0.607,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
rbg253a,             inf,             2011.0,             0.594,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ESC47,             inf,             482.0,             0.306,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             885.0,             0.081,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             315.0,             0.182,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             19073.0,             6.570,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             39125.0,             0.325,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             3312.0,             0.289,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             2669.0,             0.422,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             4437.0,             0.166,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ESC63,             inf,             31.0,             0.736,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             440.0,             0.122,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             8042.0,             0.074,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             15046.0,             0.044,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
rbg150a,             inf,             939.0,             0.298,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
rbg109a,             inf,             451.0,             0.187,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
rbg048a,             inf,             160.0,             0.226,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
rbg050c,             inf,             194.0,             0.237,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             10039.0,             0.094,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
prob,             inf,             504.0,             1.271,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             32726.0,             0.161,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
prob,             inf,             136.0,             0.164,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             21162.0,             1.531,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ESC11,             2075.0,             1845.0,             0.004,            false,             false,            false,            false,            TD,            200,            0.111,            -2075.0
br17,             58.0,             47.0,             0.006,            false,             false,            false,            false,            TD,            200,            0.190,            -58.0
ft70,             inf,             19949.0,             0.948,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
br17,             58.0,             45.0,             0.007,            false,             false,            false,            false,            TD,            200,            0.224,            -58.0
p43,             inf,             2005.0,             0.039,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             26709.0,             0.342,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ESC78,             inf,             10950.0,             0.185,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ESC12,             inf,             1345.0,             0.007,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             7980.0,             0.256,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
rbg174a,             inf,             1379.0,             0.285,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             21561.0,             0.681,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ESC07,             2125.0,             2125.0,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            -2125.0
ESC25,             inf,             820.0,             0.051,            false,             false,            false,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             1223.0,             2.577,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             1339.0,             5.720,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
rbg253a,             inf,             90.0,             4.214,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ESC47,             inf,             1.0,             2.909,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             215.0,             1.454,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             285.0,             2.997,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             1339.0,             20.955,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             1339.0,             3.013,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             334.0,             2.828,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             281.0,             3.637,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             463.0,             1.735,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ESC63,             inf,             31.0,             1.712,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             180.0,             2.565,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft53,             inf,             593.0,             0.993,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             2560.0,             0.883,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
rbg150a,             inf,             14.0,             2.589,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
rbg109a,             inf,             71.0,             2.007,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
rbg048a,             inf,             10.0,             1.863,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
rbg050c,             inf,             20.0,             2.009,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             1405.0,             1.591,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
prob,             inf,             38.0,             19.729,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             2563.0,             1.773,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
prob,             inf,             8.0,             2.159,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
kro124p,             inf,             1339.0,             15.220,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ESC11,             7304.0,             762.0,             0.092,            false,             false,            true,            false,            TD,            200,            0.896,            -7304.0
br17,             inf,             19.0,             0.138,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             1721.0,             7.242,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
br17,             inf,             13.0,             0.169,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
p43,             inf,             405.0,             0.609,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             1941.0,             3.343,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ESC78,             inf,             950.0,             1.471,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ESC12,             inf,             241.0,             0.123,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ry48p,             inf,             953.0,             3.014,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
rbg174a,             inf,             90.0,             2.702,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ft70,             inf,             1708.0,             5.742,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
ESC07,             2125.0,             2125.0,             0.000,            false,             false,            true,            false,            TD,            200,            0.000,            -2125.0
ESC25,             inf,             30.0,             0.675,            false,             false,            true,            false,            TD,            200,            1.000,            -1.0
