Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
frb15-9-3,             -9.223372036854776e+18,             339465.0,             0.202,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-5,             -9.223372036854776e+18,             1237831.0,             0.501,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb25-13-4,             -9.223372036854776e+18,             3402474.0,             1.115,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-2,             -9.223372036854776e+18,             341914.0,             0.196,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
tautology,             7.0,             7.0,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            0.0
unit,             6.0,             6.0,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            0.0
frb25-13-1,             -9.223372036854776e+18,             3455285.0,             1.099,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-2,             -9.223372036854776e+18,             1231864.0,             0.498,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
debug2,             13.0,             13.0,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            0.0
frb25-13-2,             -9.223372036854776e+18,             3461478.0,             1.152,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb10-6-3,             -9.223372036854776e+18,             36669.0,             0.041,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-3,             -9.223372036854776e+18,             1240482.0,             0.494,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb10-6-4,             -9.223372036854776e+18,             38927.0,             0.045,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb25-13-3,             -9.223372036854776e+18,             3481691.0,             1.104,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-4,             -9.223372036854776e+18,             1231643.0,             0.525,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-4,             340552.0,             340552.0,             0.203,            false,             false,            false,            false,            IR,            200,            0.000,            127.0
frb20-11-1,             -9.223372036854776e+18,             1245125.0,             0.500,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-5,             -9.223372036854776e+18,             348307.0,             0.194,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
negative_wt,             4258.0,             4258.0,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            -2842.0
frb10-6-1,             -9.223372036854776e+18,             37035.0,             0.043,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-1,             -9.223372036854776e+18,             341777.0,             0.197,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
debug,             24.0,             24.0,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            2.0
frb25-13-5,             -9.223372036854776e+18,             3425619.0,             1.119,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
frb10-6-2,             -9.223372036854776e+18,             38194.0,             0.045,            false,             false,            false,            false,            IR,            200,            1.000,            0.0
pass,             54.0,             54.0,             0.000,            false,             false,            false,            false,            IR,            200,            0.000,            1.0
frb15-9-3,             -9.223372036854776e+18,             339465.0,             0.200,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-5,             -9.223372036854776e+18,             1237831.0,             0.499,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb25-13-4,             -9.223372036854776e+18,             3402474.0,             1.076,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-2,             -9.223372036854776e+18,             341914.0,             0.197,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
tautology,             7.0,             7.0,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            0.0
unit,             6.0,             6.0,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            0.0
frb25-13-1,             -9.223372036854776e+18,             3455285.0,             1.088,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-2,             -9.223372036854776e+18,             1231864.0,             0.502,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
debug2,             13.0,             13.0,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            0.0
frb25-13-2,             -9.223372036854776e+18,             3461478.0,             1.174,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb10-6-3,             -9.223372036854776e+18,             36669.0,             0.044,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-3,             1240482.0,             1240482.0,             0.503,            false,             true,            false,            false,            IR,            200,            0.000,            211.0
frb10-6-4,             -9.223372036854776e+18,             38927.0,             0.042,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb25-13-3,             -9.223372036854776e+18,             3481691.0,             1.104,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb20-11-4,             -9.223372036854776e+18,             1231643.0,             0.507,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-4,             340552.0,             340552.0,             0.200,            false,             true,            false,            false,            IR,            200,            0.000,            127.0
frb20-11-1,             -9.223372036854776e+18,             1245125.0,             0.499,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-5,             -9.223372036854776e+18,             348307.0,             0.197,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
negative_wt,             4258.0,             4258.0,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            -2842.0
frb10-6-1,             -9.223372036854776e+18,             37035.0,             0.042,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb15-9-1,             -9.223372036854776e+18,             341777.0,             0.189,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
debug,             24.0,             24.0,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            2.0
frb25-13-5,             -9.223372036854776e+18,             3425619.0,             1.076,            false,             true,            false,            false,            IR,            200,            1.000,            0.0
frb10-6-2,             38194.0,             38194.0,             0.044,            false,             true,            false,            false,            IR,            200,            0.000,            52.0
pass,             54.0,             54.0,             0.000,            false,             true,            false,            false,            IR,            200,            0.000,            1.0
frb15-9-3,             -9.223372036854776e+18,             339552.0,             0.143,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb20-11-5,             -9.223372036854776e+18,             1237994.0,             0.346,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb25-13-4,             -9.223372036854776e+18,             3402733.0,             0.731,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb15-9-2,             -9.223372036854776e+18,             342001.0,             0.141,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
tautology,             7.0,             7.0,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            0.0
unit,             6.0,             6.0,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            0.0
frb25-13-1,             -9.223372036854776e+18,             3455556.0,             0.734,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb20-11-2,             -9.223372036854776e+18,             1232025.0,             0.350,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
debug2,             13.0,             13.0,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            0.0
frb25-13-2,             -9.223372036854776e+18,             3461735.0,             0.749,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb10-6-3,             -9.223372036854776e+18,             36692.0,             0.032,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb20-11-3,             -9.223372036854776e+18,             1240638.0,             0.339,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb10-6-4,             -9.223372036854776e+18,             38950.0,             0.034,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb25-13-3,             -9.223372036854776e+18,             3481942.0,             0.740,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb20-11-4,             -9.223372036854776e+18,             1231812.0,             0.343,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb15-9-4,             -9.223372036854776e+18,             340632.0,             0.139,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb20-11-1,             -9.223372036854776e+18,             1245295.0,             0.345,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb15-9-5,             -9.223372036854776e+18,             348398.0,             0.141,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
negative_wt,             4258.0,             4258.0,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            -2842.0
frb10-6-1,             -9.223372036854776e+18,             37061.0,             0.033,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb15-9-1,             -9.223372036854776e+18,             341863.0,             0.140,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
debug,             24.0,             24.0,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            2.0
frb25-13-5,             -9.223372036854776e+18,             3425880.0,             0.734,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
frb10-6-2,             -9.223372036854776e+18,             38221.0,             0.033,            false,             false,            false,            false,            TD,            200,            1.000,            0.0
