Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
knapPI_3_100_1000_1,             1072,             2397,             0.340,            false,             true,            false,            true,            IR,            200,            0.553,            1072
f10_l-d_kp_20_879,             1025,             1025,             0.006,            false,             true,            false,            true,            IR,            200,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.001,            false,             true,            false,            true,            IR,            200,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.121,            false,             true,            false,            true,            IR,            200,            0.000,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             96095,             7.979,            false,             true,            false,            true,            IR,            200,            1.000,            -1
knapPI_3_2000_1000_1,             0,             43637,             13.447,            false,             true,            false,            true,            IR,            200,            1.000,            0
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             true,            false,            true,            IR,            200,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.016,            false,             true,            false,            true,            IR,            200,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.001,            false,             true,            false,            true,            IR,            200,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.001,            false,             true,            false,            true,            IR,            200,            0.000,            295
knapPI_3_1000_1000_1,             0,             18669,             6.545,            false,             true,            false,            true,            IR,            200,            1.000,            0
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             true,            false,            true,            IR,            200,            0.000,            23
knapPI_3_200_1000_1,             1259,             2722,             0.776,            false,             true,            false,            true,            IR,            200,            0.537,            1259
knapPI_1_200_1000_1,             11238,             11238,             0.062,            false,             true,            false,            true,            IR,            200,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.021,            false,             true,            false,            true,            IR,            200,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             6160,             3.127,            false,             true,            false,            true,            IR,            200,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.004,            false,             true,            false,            true,            IR,            200,            0.000,            1024
knapPI_3_500_1000_1,             -9223372036854775808,             69998,             0.462,            false,             false,            false,            false,            TD,            200,            1.000,            -1
knapPI_2_1000_1000_1,             -9223372036854775808,             337793,             1.108,            false,             false,            false,            false,            TD,            200,            1.000,            -1
